location,objectids,n_objectids,n_found_in_tc,ahead_zones,behind_zones,traditional_ahead_mean,traditional_behind_mean,traditional_aadt,non_trad_ahead_mean,non_trad_behind_mean,non_trad_aadt,tce_percent,daytype,daytype_expected,daytype_used,daypart_used,modeoftravel_used,stl_ahead_rows,stl_behind_rows,listed_ahead_segments,listed_behind_segments,present_ahead_segments,present_behind_segments,missing_ahead_zones,missing_behind_zones
JCT. RTE. 113,7809,1,1,CA 99 / 19988633|CA 99 / 70681,CA 99 / 1305890|CA 99 / 20383725,16800.0,16300.0,16550.0,,,21088.5,27.42296072507553,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
FEATHER RIVER BRIDGE,7809,1,1,CA 99 / 62242|CA 99 / 72259,CA 99 / 15956877|CA 99 / 23862508,16800.0,16300.0,16550.0,,,21054.0,27.214501510574017,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"GRIDLEY, SPRUCE STREET",7845,1,1,CA 99 / 720583,CA 99 / 713069,21100.0,22300.0,21700.0,,,16866.0,-22.276497695852534,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
JCT. RTE. 70 NORTH,7801,1,1,CA 99 / 10474764|CA 99 / 15283380,CA 99 / 190748|CA 99 / 190751,17600.0,36000.0,26800.0,,,21025.0,-21.54850746268657,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,0,2,2,2,0,,CA 99 / 190748|CA 99 / 190751
"CHICO, JCT. RTE. 32 EAST",7865,1,1,Highway 99 / 3236622|Highway 99 / 185312,CA 99 / 22607112|CA 99 / 185347,82000.0,55000.0,68500.0,,,56300.5,-17.80948905109489,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
BARRY ROAD,7813,1,1,CA 99 / 683020,CA 99 / 713219,22300.0,22100.0,22200.0,,,25744.5,15.966216216216216,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
"SACRAMENTO, MACK ROAD",7777,1,1,South Sacramento Freeway / 189279|South Sacramento Freeway / 189284,South Sacramento Freeway / 11496158|South Sacramento Freeway / 5251250,176000.0,176000.0,176000.0,,,148268.0,-15.756818181818181,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
47TH AVENUE,7781,1,1,South Sacramento Freeway / 193001|South Sacramento Freeway / 6282898,South Sacramento Freeway / 193022|South Sacramento Freeway / 73027,171000.0,141000.0,156000.0,,,180480.5,15.692628205128205,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
BROYLES ROAD,7879,1,1,CA 99 / 185206,CA 99 / 185165,14700.0,12900.0,13800.0,,,11650.5,-15.576086956521738,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
JCT. RTE. 162 WEST,7849,1,1,CA 99;CA 162 / 22187531,CA 99 / 70189,12100.0,11800.0,11950.0,,,13728.5,14.882845188284518,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
EATON AVENUE,7873,1,1,CA 99 / 185116|CA 99 / 185119,CA 99 / 185087|CA 99 / 185088,21500.0,31500.0,26500.0,,,22627.0,-14.615094339622642,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
KEEFER ROAD,7877,1,1,CA 99 / 185159,CA 99 / 185106,15700.0,15300.0,15500.0,,,13333.5,-13.977419354838709,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
BIGGS HIGHWAY,7847,1,1,CA 99 / 70189,CA 99 / 720583,11200.0,14300.0,12750.0,,,14497.5,13.705882352941176,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
JCT. RTE 149,7855,1,1,CA 99 / 70538|CA 99 / 185577,CA 99 / 17021934|CA 99 / 16363414,25500.0,11100.0,18300.0,,,20680.0,13.005464480874316,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"GRIDLEY, WILSON STREET",7843,1,1,CA 99 / 16880739,CA 99 / 693872,19900.0,19600.0,19750.0,,,17715.0,-10.30379746835443,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
GRANT LINE ROAD,7761,1,1,South Sacramento Freeway / 188084|South Sacramento Freeway / 1305508,South Sacramento Freeway / 22309324|South Sacramento Freeway / 188730,83000.0,85000.0,84000.0,,,77224.0,-8.066666666666666,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
ENCINAL ROAD/LIVE OAK BOULEVARD,7831,1,1,Live Oak Boulevard / 69780,CA 99 / 690970,18500.0,18300.0,18400.0,,,19870.5,7.991847826086956,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
DILLARD ROAD,7757,1,1,South Sacramento Freeway / 188721|South Sacramento Freeway / 188730,South Sacramento Freeway / 188716|South Sacramento Freeway / 70493,89000.0,84000.0,86500.0,,,79873.5,-7.660693641618497,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"LIVE OAK, PENNINGTON ROAD",7833,1,1,Live Oak Boulevard / 185052|Live Oak Boulevard / 185055,Live Oak Boulevard / 4270255|Live Oak Boulevard / 185044,19700.0,17300.0,18500.0,,,17180.0,-7.135135135135135,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
JCT. RTE. 162 EAST,7851,1,1,CA 99 / 1302938,CA 99;CA 162 / 22187531,12300.0,12100.0,12200.0,,,13023.0,6.745901639344262,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
"YUBA CITY, BRIDGE STREET",7821,1,1,CA 99 / 683549,CA 99 / 1303764,35000.0,35500.0,35250.0,,,33172.5,-5.8936170212765955,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
FLORIN ROAD,7779,1,1,South Sacramento Freeway / 193022|South Sacramento Freeway / 73027,South Sacramento Freeway / 189279|South Sacramento Freeway / 189284,141000.0,176000.0,158500.0,,,167679.0,5.791167192429022,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"SACRAMENTO, 12TH AVENUE",7787,1,1,South Sacramento Freeway / 193828|South Sacramento Freeway / 193825,South Sacramento Freeway / 192822|South Sacramento Freeway / 192818,190000.0,180000.0,185000.0,,,195402.5,5.622972972972973,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
DULUTH AVENUE,7773,1,1,South Sacramento Freeway / 189277|South Sacramento Freeway / 189275,South Sacramento Freeway / 189188|South Sacramento Freeway / 189132,161000.0,135000.0,148000.0,,,140572.5,-5.018581081081081,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
ELK GROVE BOULEVARD,7763,1,1,South Sacramento Freeway / 1302576|South Sacramento Freeway / 188510,South Sacramento Freeway / 188084|South Sacramento Freeway / 1305508,112000.0,83000.0,97500.0,,,92607.5,-5.017948717948718,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
EAST 20TH STREET,7863,1,1,CA 99 / 22607112|CA 99 / 185347,CA 99 / 185451|CA 99 / 22981402,55000.0,43000.0,49000.0,,,46816.5,-4.456122448979592,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
ARNO ROAD,7755,1,1,South Sacramento Freeway / 188716|South Sacramento Freeway / 70493,South Sacramento Freeway / 9947986|South Sacramento Freeway / 10980779,84000.0,83000.0,83500.0,,,80750.5,-3.292814371257485,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
LAGUNA BOULEVARD/ BOND ROAD,7765,1,1,South Sacramento Freeway / 188302|South Sacramento Freeway / 188301,South Sacramento Freeway / 1302576|South Sacramento Freeway / 188510,134000.0,112000.0,123000.0,,,119341.0,-2.9747967479674795,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
FRANKLIN ROAD,7819,1,1,CA 99 / 1303764,CA 99 / 1302697,35500.0,34500.0,35000.0,,,34021.5,-2.795714285714286,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
JCT. RTE. 104 EAST,7751,1,1,South Sacramento Freeway / 9947988|South Sacramento Freeway / 10980777,South Sacramento Freeway / 9947991|South Sacramento Freeway / 10980774,78000.0,76000.0,77000.0,,,78744.5,2.2655844155844154,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"YUBA CITY, QUEENS AVENUE",7827,1,1,CA 99 / 19182490|CA 99 / 19885831,CA 99 / 694163|CA 99 / 185054,22100.0,22200.0,22150.0,,,21656.5,-2.2279909706546275,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"CHICO, SKYWAY OVERCROSSING",7861,1,1,CA 99 / 9432481|CA 99 / 22093967,CA 99 / 11495974|CA 99 / 16551419,28000.0,28000.0,28000.0,,,28551.5,1.9696428571428573,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
NELSON SHIPPEE ROAD,7853,1,1,CA 99 / 712588,CA 99 / 1302938,11100.0,13400.0,12250.0,,,12490.0,1.9591836734693877,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
"SACRAMENTO, FRUITRIDGE ROAD",7785,1,1,South Sacramento Freeway / 192822|South Sacramento Freeway / 192818,South Sacramento Freeway / 20029922|South Sacramento Freeway / 5306321,180000.0,182000.0,181000.0,,,184440.0,1.9005524861878453,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
SHELDON ROAD,7767,1,1,South Sacramento Freeway / 189188|South Sacramento Freeway / 188302,South Sacramento Freeway / 189132|South Sacramento Freeway / 188301,122000.0,134000.0,128000.0,,,130401.0,1.87578125,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
WALNUT STREET CONNECTION,7749,1,1,South Sacramento Freeway / 9947991|South Sacramento Freeway / 10980774,South Sacramento Freeway / 9947994|South Sacramento Freeway / 22215110,76000.0,77000.0,76500.0,,,77710.5,1.5823529411764705,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"YUBA CITY, JCT. RTE. 20",7825,1,1,CA 99 / 694163|CA 99 / 185054,CA 99 / 71210|CA 99 / 70537,22200.0,32500.0,27350.0,,,27698.5,1.2742230347349177,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
EAGER ROAD,7829,1,1,CA 99 / 694159|CA 99 / 711538,CA 99 / 19182490|CA 99 / 19885831,18300.0,22100.0,20200.0,,,19966.0,-1.1584158415841583,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"GALT, C STREET",7743,1,1,South Sacramento Freeway / 21487462|South Sacramento Freeway / 22215115,South Sacramento Freeway / 21487460|South Sacramento Freeway / 22215117,78000.0,76000.0,77000.0,,,77233.5,0.30324675324675326,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
